time;edc_id;overall_std_u;max_std_u;PUE;power_demand;it_power;cooling_power
0;edc_0;0.0;1000;0;0;0;0
0;edc_1;0.0;1000;0;0;0;0
0;edc_2;0.0;1000;0;0;0;0
1.0;edc_0;0.0;1000;1.0;176.55751037597656;176.55751037597656;0
1.0;edc_1;0.0;1000;1.0;176.55751037597656;176.55751037597656;0
1.0;edc_2;0.0;1000;1.0;176.55751037597656;176.55751037597656;0
1.2;edc_0;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
1.2;edc_1;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
1.2;edc_2;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
1.4;edc_0;40.0;1000;1.0;193.47101593017578;193.47101593017578;0
1.4;edc_1;40.0;1000;1.0;193.47101593017578;193.47101593017578;0
1.5;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
1.5;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
1.5;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
1.5999999999999999;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
1.5999999999999999;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
1.7999999999999998;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
1.7999999999999998;edc_1;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
1.9999999999999998;edc_0;100.0;1000;1.0;286.9759521484375;286.9759521484375;0
11.399999999999999;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
11.399999999999999;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
11.399999999999999;edc_2;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
11.6;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
11.6;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
11.799999999999999;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
11.799999999999999;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
12.0;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
12.0;edc_1;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
12.099999999999998;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
12.2;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
12.2;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
12.2;edc_2;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
12.399999999999999;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
12.399999999999999;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
12.599999999999998;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
12.599999999999998;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
12.799999999999997;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
12.799999999999997;edc_1;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
12.8;edc_1;80.0;1000;1.0;197.39456176757812;197.39456176757812;0
12.999999999999996;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
13.199999999999996;edc_0;100.0;1000;1.0;286.9759521484375;286.9759521484375;0
13.2;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
13.8;edc_1;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
22.3;edc_2;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
22.4;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
22.4;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
22.599999999999998;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
22.8;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
22.8;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
23.0;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
23.0;edc_1;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
23.0;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
23.1;edc_2;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
23.2;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
23.2;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
23.4;edc_0;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
23.4;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
23.599999999999998;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
23.599999999999998;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
23.799999999999997;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
23.799999999999997;edc_1;80.0;1000;1.0;197.39456176757812;197.39456176757812;0
23.999999999999996;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
24.1;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
24.199999999999996;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
24.399999999999995;edc_0;100.0;1000;1.0;286.9759521484375;286.9759521484375;0
24.799999999999997;edc_1;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
33.2;edc_2;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
33.400000000000006;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
33.60000000000001;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
33.800000000000004;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
33.80000000000001;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
33.900000000000006;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
34.0;edc_2;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
34.00000000000001;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
34.000000000000014;edc_1;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
34.20000000000001;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
34.20000000000002;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
34.40000000000001;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
34.40000000000002;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
34.600000000000016;edc_0;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
34.60000000000002;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
34.8;edc_1;60.0;1000;1.0;196.0496826171875;196.0496826171875;0
34.80000000000002;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
34.800000000000026;edc_1;80.0;1000;1.0;197.39456176757812;197.39456176757812;0
35.0;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
35.00000000000002;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
35.200000000000024;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
35.40000000000003;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
35.60000000000003;edc_0;100.0;1000;1.0;286.9759521484375;286.9759521484375;0
35.8;edc_1;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
44.10000000000001;edc_2;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
44.40000000000002;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
44.60000000000002;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
44.80000000000001;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
44.800000000000026;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
44.900000000000006;edc_2;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
45.00000000000002;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
45.00000000000003;edc_1;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
45.20000000000003;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
45.300000000000004;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
45.400000000000034;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
45.50000000000001;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
45.60000000000004;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
45.70000000000001;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
45.800000000000026;edc_1;60.0;1000;1.0;196.0496826171875;196.0496826171875;0
45.80000000000004;edc_1;80.0;1000;1.0;197.39456176757812;197.39456176757812;0
45.900000000000006;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
45.90000000000001;edc_0;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
46.100000000000016;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
46.30000000000002;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
46.50000000000002;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
46.700000000000024;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
46.800000000000026;edc_1;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
46.90000000000003;edc_0;100.0;1000;1.0;286.9759521484375;286.9759521484375;0
55.000000000000014;edc_2;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
55.400000000000034;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
55.60000000000004;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
55.70000000000002;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
55.80000000000001;edc_2;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
55.80000000000004;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
56.00000000000004;edc_1;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
56.200000000000045;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
56.30000000000002;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
56.40000000000005;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
56.50000000000002;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
56.60000000000005;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
56.800000000000004;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
56.80000000000001;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
56.80000000000004;edc_1;60.0;1000;1.0;196.0496826171875;196.0496826171875;0
56.800000000000054;edc_1;80.0;1000;1.0;197.39456176757812;197.39456176757812;0
57.00000000000001;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
57.20000000000001;edc_0;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
57.40000000000001;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
57.600000000000016;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
57.80000000000002;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
57.80000000000004;edc_1;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
58.00000000000002;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
58.200000000000024;edc_0;100.0;1000;1.0;286.9759521484375;286.9759521484375;0
65.90000000000002;edc_2;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
66.40000000000005;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
66.60000000000002;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
66.60000000000005;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
66.70000000000002;edc_2;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
66.80000000000005;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
67.00000000000006;edc_1;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
67.20000000000006;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
67.40000000000006;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
67.60000000000001;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
67.60000000000007;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
67.70000000000002;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
67.80000000000003;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
67.80000000000005;edc_1;60.0;1000;1.0;196.0496826171875;196.0496826171875;0
67.80000000000007;edc_1;80.0;1000;1.0;197.39456176757812;197.39456176757812;0
68.00000000000003;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
68.3;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
68.5;edc_0;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
68.7;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
68.80000000000005;edc_1;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
68.9;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
69.10000000000001;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
69.30000000000001;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
69.50000000000001;edc_0;100.0;1000;1.0;286.9759521484375;286.9759521484375;0
76.80000000000003;edc_2;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
77.40000000000006;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
77.50000000000003;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
77.60000000000002;edc_2;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
77.60000000000007;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
77.80000000000007;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
78.00000000000007;edc_1;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
78.20000000000007;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
78.40000000000008;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
78.60000000000002;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
78.60000000000008;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
78.80000000000007;edc_1;60.0;1000;1.0;196.0496826171875;196.0496826171875;0
78.80000000000008;edc_1;80.0;1000;1.0;197.39456176757812;197.39456176757812;0
78.9;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
79.10000000000001;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
79.30000000000001;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
79.50000000000001;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
79.70000000000002;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
79.80000000000007;edc_1;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
79.90000000000002;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
80.10000000000002;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
80.30000000000003;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
80.50000000000003;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
80.70000000000003;edc_0;100.0;1000;1.0;286.9759521484375;286.9759521484375;0
87.8;edc_2;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
88.40000000000008;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
88.5;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
88.6;edc_2;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
88.60000000000008;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
88.80000000000008;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
89.00000000000009;edc_1;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
89.20000000000009;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
89.40000000000009;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
89.6;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
89.6000000000001;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
89.80000000000008;edc_1;60.0;1000;1.0;196.0496826171875;196.0496826171875;0
89.8000000000001;edc_1;80.0;1000;1.0;197.39456176757812;197.39456176757812;0
89.90000000000002;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
90.30000000000003;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
90.50000000000003;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
90.70000000000003;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
90.80000000000008;edc_1;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
90.90000000000003;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
91.10000000000004;edc_0;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
91.30000000000004;edc_0;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
91.50000000000004;edc_0;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
91.70000000000005;edc_0;80.0;1000;1.0;285.6733169555664;285.6733169555664;0
91.90000000000005;edc_0;100.0;1000;1.0;286.9759521484375;286.9759521484375;0
98.7;edc_2;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
99.4;edc_2;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
99.40000000000009;edc_1;60.0;1000;1.0;284.3284378051758;284.3284378051758;0
99.5;edc_2;20.0;1000;1.0;185.54390716552734;185.54390716552734;0
99.6000000000001;edc_1;40.0;1000;1.0;281.74977111816406;281.74977111816406;0
99.8000000000001;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
100.0000000000001;edc_1;0.0;1000;1.0;264.83626556396484;264.83626556396484;0
100.2000000000001;edc_1;20.0;1000;1.0;273.8226623535156;273.8226623535156;0
